X,Y,Z
-1.993967999999999963e+00,-2.591279999999999695e-01,4.782399999999999846e-02
-2.043255999999999961e+00,-2.732799999999999813e-02,1.854399999999999937e-01
-2.294576000000000171e+00,8.051999999999999436e-02,-6.343999999999999639e-02
-2.302383999999999986e+00,1.034559999999999924e-01,-3.391600000000000170e-01
-2.381440000000000001e+00,2.830399999999999930e-02,-8.818159999999999332e-01
-3.509208000000000105e+00,-1.556720000000000048e-01,-4.728720000000000145e-01
-2.521008000000000138e+00,9.457440000000000291e-01,2.098399999999999918e-02
-1.885143999999999931e+00,7.007679999999999465e-01,3.694159999999999666e-01
-2.103279999999999816e+00,1.354200000000000070e+00,1.329312000000000049e+00
-1.734351999999999894e+00,1.466928000000000010e+00,-1.579655999999999949e+00
-1.857327999999999868e+00,7.900719999999999965e-01,2.683999999999999719e-01
-1.426423999999999914e+00,1.342000000000000082e+00,6.831999999999999185e-02
-1.786567999999999934e+00,1.935408000000000017e+00,1.155095999999999901e+00
-2.171111999999999931e+00,2.243824000000000041e+00,-6.343999999999999639e-02
-1.701168000000000013e+00,1.816335999999999951e+00,-4.733600000000000030e-01
-3.155407999999999991e+00,2.221864000000000061e+00,-1.576239999999999863e-01
-2.509783999999999793e+00,1.978839999999999932e+00,-1.321015999999999968e+00
-2.491239999999999899e+00,2.415599999999999969e+00,3.630720000000000058e-01
-1.781199999999999894e+00,3.092944000000000138e+00,-1.795839999999999936e-01
-2.035935999999999968e+00,3.248127999999999904e+00,-6.924719999999999764e-01
-1.695311999999999930e+00,2.845040000000000013e+00,-3.611199999999999966e-01
-1.867575999999999903e+00,3.063663999999999721e+00,8.217919999999999670e-01
-8.998720000000000052e-01,3.678544000000000036e+00,5.172799999999999621e-02
-9.120719999999999938e-01,3.567768000000000050e+00,3.264719999999999844e-01
-1.465951999999999922e+00,3.377936000000000050e+00,2.215519999999999989e-01
-1.439599999999999991e+00,3.595095999999999847e+00,-4.421279999999999655e-01
-1.226343999999999879e+00,3.594119999999999759e+00,-3.196399999999999797e-01
-6.256159999999999499e-01,3.642431999999999892e+00,-5.397279999999999855e-01
-1.199991999999999948e+00,4.015751999999999988e+00,4.426160000000000094e-01
-7.217519999999999492e-01,3.815183999999999909e+00,-7.612800000000000122e-02
-6.383039999999999825e-01,3.506768000000000107e+00,-4.870240000000000125e-01
-3.786879999999999691e-01,3.951823999999999781e+00,-2.049600000000000033e-02
-4.826320000000000054e-01,4.493015999999999899e+00,1.956880000000000008e-01
-1.727519999999999889e-01,4.193384000000000000e+00,-2.439999999999999947e-01
6.539199999999999180e-02,3.682447999999999944e+00,-2.576640000000000041e-01
1.278559999999999974e-01,3.346216000000000079e+00,2.103279999999999872e-01
-1.112640000000000018e-01,3.725880000000000081e+00,-7.212640000000000162e-01
2.210639999999999827e-01,3.819576000000000082e+00,1.171200000000000019e-01
6.500160000000000382e-01,4.313431999999999711e+00,8.784000000000000141e-02
1.053592000000000084e+00,3.823967999999999812e+00,2.469280000000000086e-01
1.158023999999999942e+00,3.222751999999999839e+00,-1.542079999999999840e-01
9.642880000000000340e-01,3.200304000000000038e+00,-1.844639999999999891e-01
1.073599999999999888e+00,3.445279999999999898e+00,3.957680000000000087e-01
1.324919999999999876e+00,3.364759999999999973e+00,-3.171999999999999820e-02
1.382015999999999911e+00,3.265207999999999888e+00,-1.395679999999999976e-01
1.438623999999999903e+00,3.234951999999999828e+00,1.644559999999999911e-01
1.476199999999999957e+00,2.842111999999999750e+00,-3.562399999999999595e-02
1.630407999999999857e+00,2.650815999999999839e+00,-1.664080000000000004e-01
1.850007999999999875e+00,2.790383999999999975e+00,3.303760000000000030e-01
1.963711999999999902e+00,2.682535999999999810e+00,1.420079999999999953e-01
2.033495999999999970e+00,2.549312000000000022e+00,-2.122799999999999965e-01
2.155984000000000123e+00,2.393639999999999990e+00,1.903199999999999892e-01
